COUNTRY,Country,BIRTH,Place of birth,GENDER,Gender,RATE,Rate,YEAR,Year,Value
AUT,Austria,FB,Foreign-born,MEN,Men,P_RATE,Participation rate,2020,2020,81.5
AUT,Austria,FB,Foreign-born,MEN,Men,P_RATE,Participation rate,2021,2021,84.2
AUT,Austria,FB,Foreign-born,WMN,Women,N_RATE,Employment rate,2011,2011,59.2
AUT,Austria,FB,Foreign-born,WMN,Women,N_RATE,Employment rate,2012,2012,58.6
AUT,Austria,FB,Foreign-born,WMN,Women,N_RATE,Employment rate,2013,2013,58.5
AUT,Austria,FB,Foreign-born,WMN,Women,N_RATE,Employment rate,2014,2014,59.3
AUT,Austria,FB,Foreign-born,WMN,Women,N_RATE,Employment rate,2015,2015,58.2
AUT,Austria,FB,Foreign-born,WMN,Women,N_RATE,Employment rate,2016,2016,58.9
AUT,Austria,FB,Foreign-born,WMN,Women,N_RATE,Employment rate,2017,2017,59.3
AUT,Austria,FB,Foreign-born,WMN,Women,N_RATE,Employment rate,2018,2018,61.2
AUT,Austria,FB,Foreign-born,WMN,Women,N_RATE,Employment rate,2019,2019,62.9
AUT,Austria,FB,Foreign-born,WMN,Women,N_RATE,Employment rate,2020,2020,59.9
AUT,Austria,FB,Foreign-born,WMN,Women,N_RATE,Employment rate,2021,2021,60.6
AUT,Austria,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2011,2011,8.3
AUT,Austria,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2012,2012,8.2
AUT,Austria,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2013,2013,9.3
AUT,Austria,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2014,2014,9.5
AUT,Austria,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2015,2015,10.2
AUT,Austria,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2016,2016,10.4
AUT,Austria,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2017,2017,10.5
AUT,Austria,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2018,2018,9.2
AUT,Austria,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2019,2019,8.4
AUT,Austria,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2020,2020,12.3
AUT,Austria,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2021,2021,11.6
AUT,Austria,FB,Foreign-born,WMN,Women,P_RATE,Participation rate,2011,2011,64.6
AUT,Austria,FB,Foreign-born,WMN,Women,P_RATE,Participation rate,2012,2012,63.8
AUT,Austria,FB,Foreign-born,WMN,Women,P_RATE,Participation rate,2013,2013,64.5
AUT,Austria,FB,Foreign-born,WMN,Women,P_RATE,Participation rate,2014,2014,65.5
AUT,Austria,FB,Foreign-born,WMN,Women,P_RATE,Participation rate,2015,2015,64.8
AUT,Austria,FB,Foreign-born,WMN,Women,P_RATE,Participation rate,2016,2016,65.7
AUT,Austria,FB,Foreign-born,WMN,Women,P_RATE,Participation rate,2017,2017,66.2
AUT,Austria,FB,Foreign-born,WMN,Women,P_RATE,Participation rate,2018,2018,67.4
AUT,Austria,FB,Foreign-born,WMN,Women,P_RATE,Participation rate,2019,2019,68.7
AUT,Austria,FB,Foreign-born,WMN,Women,P_RATE,Participation rate,2020,2020,67.7
AUT,Austria,FB,Foreign-born,WMN,Women,P_RATE,Participation rate,2021,2021,68.5
AUT,Austria,FB,Foreign-born,TOT,Total,N_RATE,Employment rate,2011,2011,66.7
AUT,Austria,FB,Foreign-born,TOT,Total,N_RATE,Employment rate,2012,2012,65.6
AUT,Austria,FB,Foreign-born,TOT,Total,N_RATE,Employment rate,2013,2013,65.2
AUT,Austria,FB,Foreign-born,TOT,Total,N_RATE,Employment rate,2014,2014,64.9
AUT,Austria,FB,Foreign-born,TOT,Total,N_RATE,Employment rate,2015,2015,64.7
AUT,Austria,FB,Foreign-born,TOT,Total,N_RATE,Employment rate,2016,2016,64.6
AUT,Austria,FB,Foreign-born,TOT,Total,N_RATE,Employment rate,2017,2017,65.6
AUT,Austria,FB,Foreign-born,TOT,Total,N_RATE,Employment rate,2018,2018,68
AUT,Austria,FB,Foreign-born,TOT,Total,N_RATE,Employment rate,2019,2019,68.9
AUT,Austria,FB,Foreign-born,TOT,Total,N_RATE,Employment rate,2020,2020,66.1
AUT,Austria,FB,Foreign-born,TOT,Total,N_RATE,Employment rate,2021,2021,67.6
AUT,Austria,FB,Foreign-born,TOT,Total,U_RATE,Unemployment rate,2011,2011,8.2
AUT,Austria,FB,Foreign-born,TOT,Total,U_RATE,Unemployment rate,2012,2012,8.9
AUT,Austria,FB,Foreign-born,TOT,Total,U_RATE,Unemployment rate,2013,2013,9.9
AUT,Austria,FB,Foreign-born,TOT,Total,U_RATE,Unemployment rate,2014,2014,10.1
AUT,Austria,FB,Foreign-born,TOT,Total,U_RATE,Unemployment rate,2015,2015,10.7
AUT,Austria,FB,Foreign-born,TOT,Total,U_RATE,Unemployment rate,2016,2016,11.4
AUT,Austria,FB,Foreign-born,TOT,Total,U_RATE,Unemployment rate,2017,2017,10.7
AUT,Austria,FB,Foreign-born,TOT,Total,U_RATE,Unemployment rate,2018,2018,9.4
AUT,Austria,FB,Foreign-born,TOT,Total,U_RATE,Unemployment rate,2019,2019,8.3
AUT,Austria,FB,Foreign-born,TOT,Total,U_RATE,Unemployment rate,2020,2020,11.6
AUT,Austria,FB,Foreign-born,TOT,Total,U_RATE,Unemployment rate,2021,2021,11.3
AUT,Austria,FB,Foreign-born,TOT,Total,P_RATE,Participation rate,2011,2011,72.6
AUT,Austria,FB,Foreign-born,TOT,Total,P_RATE,Participation rate,2012,2012,72
AUT,Austria,FB,Foreign-born,TOT,Total,P_RATE,Participation rate,2013,2013,72.3
AUT,Austria,FB,Foreign-born,TOT,Total,P_RATE,Participation rate,2014,2014,72.2
AUT,Austria,FB,Foreign-born,TOT,Total,P_RATE,Participation rate,2015,2015,72.4
AUT,Austria,FB,Foreign-born,TOT,Total,P_RATE,Participation rate,2016,2016,72.9
AUT,Austria,FB,Foreign-born,TOT,Total,P_RATE,Participation rate,2017,2017,73.4
AUT,Austria,FB,Foreign-born,TOT,Total,P_RATE,Participation rate,2018,2018,75.1
AUT,Austria,FB,Foreign-born,TOT,Total,P_RATE,Participation rate,2019,2019,75.1
AUT,Austria,FB,Foreign-born,TOT,Total,P_RATE,Participation rate,2020,2020,74.4
AUT,Austria,FB,Foreign-born,TOT,Total,P_RATE,Participation rate,2021,2021,76.2
BEL,Belgium,FB,Foreign-born,MEN,Men,N_RATE,Employment rate,2011,2011,61.3
BEL,Belgium,FB,Foreign-born,MEN,Men,N_RATE,Employment rate,2012,2012,60
BEL,Belgium,FB,Foreign-born,MEN,Men,N_RATE,Employment rate,2013,2013,60.5
BEL,Belgium,FB,Foreign-born,MEN,Men,N_RATE,Employment rate,2014,2014,60.3
BEL,Belgium,FB,Foreign-born,MEN,Men,N_RATE,Employment rate,2015,2015,60.5
BEL,Belgium,FB,Foreign-born,MEN,Men,N_RATE,Employment rate,2016,2016,62.1
BEL,Belgium,FB,Foreign-born,MEN,Men,N_RATE,Employment rate,2017,2017,65.5
BEL,Belgium,FB,Foreign-born,MEN,Men,N_RATE,Employment rate,2018,2018,65.7
BEL,Belgium,FB,Foreign-born,MEN,Men,N_RATE,Employment rate,2019,2019,66.2
BEL,Belgium,FB,Foreign-born,MEN,Men,N_RATE,Employment rate,2020,2020,65.5
BEL,Belgium,FB,Foreign-born,MEN,Men,N_RATE,Employment rate,2021,2021,68
BEL,Belgium,FB,Foreign-born,MEN,Men,U_RATE,Unemployment rate,2011,2011,15.5
BEL,Belgium,FB,Foreign-born,MEN,Men,U_RATE,Unemployment rate,2012,2012,17.6
BEL,Belgium,FB,Foreign-born,MEN,Men,U_RATE,Unemployment rate,2013,2013,18.2
BEL,Belgium,FB,Foreign-born,MEN,Men,U_RATE,Unemployment rate,2014,2014,18.7
BEL,Belgium,FB,Foreign-born,MEN,Men,U_RATE,Unemployment rate,2015,2015,17.9
BEL,Belgium,FB,Foreign-born,MEN,Men,U_RATE,Unemployment rate,2016,2016,15.9
BEL,Belgium,FB,Foreign-born,MEN,Men,U_RATE,Unemployment rate,2017,2017,13.1
BEL,Belgium,FB,Foreign-born,MEN,Men,U_RATE,Unemployment rate,2018,2018,12.4
BEL,Belgium,FB,Foreign-born,MEN,Men,U_RATE,Unemployment rate,2019,2019,10.3
BEL,Belgium,FB,Foreign-born,MEN,Men,U_RATE,Unemployment rate,2020,2020,11.2
BEL,Belgium,FB,Foreign-born,MEN,Men,U_RATE,Unemployment rate,2021,2021,10.5
BEL,Belgium,FB,Foreign-born,MEN,Men,P_RATE,Participation rate,2011,2011,72.5
BEL,Belgium,FB,Foreign-born,MEN,Men,P_RATE,Participation rate,2012,2012,72.8
BEL,Belgium,FB,Foreign-born,MEN,Men,P_RATE,Participation rate,2013,2013,74
BEL,Belgium,FB,Foreign-born,MEN,Men,P_RATE,Participation rate,2014,2014,74.2
BEL,Belgium,FB,Foreign-born,MEN,Men,P_RATE,Participation rate,2015,2015,73.7
BEL,Belgium,FB,Foreign-born,MEN,Men,P_RATE,Participation rate,2016,2016,73.8
BEL,Belgium,FB,Foreign-born,MEN,Men,P_RATE,Participation rate,2017,2017,75.4
BEL,Belgium,FB,Foreign-born,MEN,Men,P_RATE,Participation rate,2018,2018,74.9
BEL,Belgium,FB,Foreign-born,MEN,Men,P_RATE,Participation rate,2019,2019,73.8
BEL,Belgium,FB,Foreign-born,MEN,Men,P_RATE,Participation rate,2020,2020,73.6
BEL,Belgium,FB,Foreign-born,MEN,Men,P_RATE,Participation rate,2021,2021,76
BEL,Belgium,FB,Foreign-born,WMN,Women,N_RATE,Employment rate,2011,2011,44.4
BEL,Belgium,FB,Foreign-born,WMN,Women,N_RATE,Employment rate,2012,2012,44.5
BEL,Belgium,FB,Foreign-born,WMN,Women,N_RATE,Employment rate,2013,2013,45.3
BEL,Belgium,FB,Foreign-born,WMN,Women,N_RATE,Employment rate,2014,2014,45.6
BEL,Belgium,FB,Foreign-born,WMN,Women,N_RATE,Employment rate,2015,2015,46.6
BEL,Belgium,FB,Foreign-born,WMN,Women,N_RATE,Employment rate,2016,2016,46.6
BEL,Belgium,FB,Foreign-born,WMN,Women,N_RATE,Employment rate,2017,2017,47.8
BEL,Belgium,FB,Foreign-born,WMN,Women,N_RATE,Employment rate,2018,2018,51.3
BEL,Belgium,FB,Foreign-born,WMN,Women,N_RATE,Employment rate,2019,2019,51.6
BEL,Belgium,FB,Foreign-born,WMN,Women,N_RATE,Employment rate,2020,2020,50
BEL,Belgium,FB,Foreign-born,WMN,Women,N_RATE,Employment rate,2021,2021,51.4
BEL,Belgium,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2011,2011,14.6
BEL,Belgium,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2012,2012,15.9
BEL,Belgium,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2013,2013,16
BEL,Belgium,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2014,2014,16.3
BEL,Belgium,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2015,2015,16
BEL,Belgium,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2016,2016,15.5
BEL,Belgium,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2017,2017,13.8
BEL,Belgium,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2018,2018,10.5
BEL,Belgium,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2019,2019,10.4
BEL,Belgium,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2020,2020,10.7
BEL,Belgium,FB,Foreign-born,WMN,Women,U_RATE,Unemployment rate,2021,2021,11.8
BEL,Belgium,FB,Foreign-born,WMN,Women,P_RATE,Participation rate,2011,2011,52.1
BEL,Belgium,FB,Foreign-born,WMN,Women,P_RATE,Participation rate,2012,2012,53
BEL,Belgium,FB,Foreign-born,WMN,Women,P_RATE,Participation rate,2013,2013,53.9
BEL,Belgium,FB,Foreign-born,WMN,Women,P_RATE,Participation rate,2014,2014,54.5
BEL,Belgium,FB,Foreign-born,WMN,Women,P_RATE,Participation rate,2015,2015,55.5
BEL,Belgium,FB,Foreign-born,WMN,Women,P_RATE,Participation rate,2016,2016,55.2
BEL,Belgium,FB,Foreign-born,WMN,Women,P_RATE,Participation rate,2017,2017,55.5
BEL,Belgium,FB,Foreign-born,WMN,Women,P_RATE,Participation rate,2018,2018,57.4
BEL,Belgium,FB,Foreign-born,WMN,Women,P_RATE,Participation rate,2019,2019,57.6
BEL,Belgium,FB,Foreign-born,WMN,Women,P_RATE,Participation rate,2020,2020,55.9
BEL,Belgium,FB,Foreign-born,WMN,Women,P_RATE,Participation rate,2021,2021,58.2
BEL,Belgium,FB,Foreign-born,TOT,Total,N_RATE,Employment rate,2011,2011,52.6
BEL,Belgium,FB,Foreign-born,TOT,Total,N_RATE,Employment rate,2012,2012,52
BEL,Belgium,FB,Foreign-born,TOT,Total,N_RATE,Employment rate,2013,2013,52.7
BEL,Belgium,FB,Foreign-born,TOT,Total,N_RATE,Employment rate,2014,2014,52.8
BEL,Belgium,FB,Foreign-born,TOT,Total,N_RATE,Employment rate,2015,2015,53.3
BEL,Belgium,FB,Foreign-born,TOT,Total,N_RATE,Employment rate,2016,2016,54.1
BEL,Belgium,FB,Foreign-born,TOT,Total,N_RATE,Employment rate,2017,2017,56.5
BEL,Belgium,FB,Foreign-born,TOT,Total,N_RATE,Employment rate,2018,2018,58.3
BEL,Belgium,FB,Foreign-born,TOT,Total,N_RATE,Employment rate,2019,2019,58.7
BEL,Belgium,FB,Foreign-born,TOT,Total,N_RATE,Employment rate,2020,2020,57.5
BEL,Belgium,FB,Foreign-born,TOT,Total,N_RATE,Employment rate,2021,2021,59.4
BEL,Belgium,FB,Foreign-born,TOT,Total,U_RATE,Unemployment rate,2011,2011,15.1
BEL,Belgium,FB,Foreign-born,TOT,Total,U_RATE,Unemployment rate,2012,2012,16.9
BEL,Belgium,FB,Foreign-born,TOT,Total,U_RATE,Unemployment rate,2013,2013,17.2
BEL,Belgium,FB,Foreign-born,TOT,Total,U_RATE,Unemployment rate,2014,2014,17.6
BEL,Belgium,FB,Foreign-born,TOT,Total,U_RATE,Unemployment rate,2015,2015,17
BEL,Belgium,FB,Foreign-born,TOT,Total,U_RATE,Unemployment rate,2016,2016,15.7
BEL,Belgium,FB,Foreign-born,TOT,Total,U_RATE,Unemployment rate,2017,2017,13.4
BEL,Belgium,FB,Foreign-born,TOT,Total,U_RATE,Unemployment rate,2018,2018,11.5
BEL,Belgium,FB,Foreign-born,TOT,Total,U_RATE,Unemployment rate,2019,2019,10.4
BEL,Belgium,FB,Foreign-born,TOT,Total,U_RATE,Unemployment rate,2020,2020,11
BEL,Belgium,FB,Foreign-born,TOT,Total,U_RATE,Unemployment rate,2021,2021,11
BEL,Belgium,FB,Foreign-born,TOT,Total,P_RATE,Participation rate,2011,2011,61.9
BEL,Belgium,FB,Foreign-born,TOT,Total,P_RATE,Participation rate,2012,2012,62.5
BEL,Belgium,FB,Foreign-born,TOT,Total,P_RATE,Participation rate,2013,2013,63.7
BEL,Belgium,FB,Foreign-born,TOT,Total,P_RATE,Participation rate,2014,2014,64.1
